"Sl.No"|"Data entry operator "|"Cross Check D/O"|"Starting time of the visit"|"Ending time of the visit"|"Year of establishment of the anganwadi centre"|"date"|"District"|"Project"|"Circle"|"KLP ID"|"code"|"Ang Name"|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60||62|63|64|65|66|67|68|69|70
15|"MUNIRATHNA"|"MOHSINA"|"11:20:00"|"11:30:00"|1984||" BANGALORE"|"BANGALORE CENTRAL"|"KUVEMPUNAGAR 4TH CIRCLE"|30832||"OKLIPURA I"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"NO"|"NO"|"YES"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NILL"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"
16|"MUNIRATHNA"|"MOHSINA"|"11:00:00"|"11:45:00"|2008||" BANGALORE"|"BANGALORE CENTRAL"|"KUVEMPUNAGAR 4TH CIRCLE"|33993||"PRAKASHNAGAR"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NILL"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"
17|"MUNIRATHNA"|"MOHSINA"|"12:00:00"|"12:30:00"|2008||" BANGALORE"|"BANGALORE CENTRAL"|"KUVEMPUNAGAR 4TH CIRCLE"|31044||"PRASHANTHANAGARA"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NILL"|"YES"|"YES"|"YES"|"NO"|"YES"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"
18|"MUNIRATHNA"|"MOHSINA"|"10:00:00"|"10:40:00"|"30/06/05"||" BANGALORE"|"BANGALORE CENTRAL"|"KUVEMPUNAGAR 4TH CIRCLE"|31295||"RAMACHANDRAPURA 1"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"
19|"MUNIRATHNA"|"MOHSINA"|"10:10:00"|"10:30:00"|2005||" BANGALORE"|"BANGALORE CENTRAL"|"NETAJI 2ND CIRCLE"|31455||"AMBEDKAR SEVA SANGA 1  JANATHA COLONY"|"YES"|"NO"|"YES"|"NO"|"YES"|"YES"|"NO"|"NO"|"YES"|"NO"|"YES"|"YES"|"NO"|"NO"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"
20|"MUNIRATHNA"|"MOHSINA"|"10:30:00"|"11:00:00"|2008||" BANGALORE"|"BANGALORE CENTRAL"|"NETAJI 2ND CIRCLE"|31461||"AMBEDKAR SEVA SANGA 2"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"NO"|"YES"|"YES"|"NO"|"NO"|"YES"|"YES"|"YES"|"NO"|"NO"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"
21|"MUNIRATHNA"|"MOHSINA"|"11:15:00"|"11:45:00"|"16/11/81"||" BANGALORE"|"BANGALORE CENTRAL"|"NETAJI 2ND CIRCLE"|34100||"AYAPPASEVASANGHA I"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"NO"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"
22|"MUNIRATHNA"|"MOHSINA"|"11:50:00"|"12:30:00"|1984||" BANGALORE"|"BANGALORE CENTRAL"|"NETAJI 2ND CIRCLE"|30417||"AYYAPPA SEVA SANGA 2"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"NO"|"YES"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"
23|"MUNIRATHNA"|"MOHSINA"|"12:40:00"|"01:30:00"|"14/06/05"||" BANGALORE"|"BANGALORE CENTRAL"|"NETAJI 2ND CIRCLE"|31448||"AZADNAGAR"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"
24|"MUNIRATHNA"|"MOHSINA"|"11:15:00"|"12:00:00"|2009||" BANGALORE"|"BANGALORE CENTRAL"|"NETAJI 2ND CIRCLE"|34090||"DEVARAJARASANAGAR"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"NO"|"NILL"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"
25|"MUNIRATHNA"|"MOHSINA"|"10:30:00"|"11:00:00"|1990||" BANGALORE"|"BANGALORE CENTRAL"|"NETAJI 2ND CIRCLE"|34095||"KASTHURI BA SEVA SANGA"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"NO"|"YES"|"YES"|"NO"|"NO"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NILL"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"
26|"MUNIRATHNA"|"MOHSINA"|"01:15:00"|"10:30:00"|"05/06/83"||" BANGALORE"|"BANGALORE CENTRAL"|"NETAJI 2ND CIRCLE"|34153||"MUSLEEM HUTS"|"YES"|"NO"|"YES"|"NO"|"YES"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"NO"|"NO"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"NO"|"YES"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"YES"
27|"MUNIRATHNA"|"MOHSINA"|"01:15:00"|"02:00:00"|2008||" BANGALORE"|"BANGALORE CENTRAL"|"NETAJI 2ND CIRCLE"|34065||"MUSLIM BURIAL GROUND 2"|"YES"|"NO"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"YES"|"YES"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"NO"|"YES"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"
28|"MUNIRATHNA"|"MOHSINA"|"12:15:00"|"01:00:00"|"02/08/08"||" BANGALORE"|"BANGALORE CENTRAL"|"NETAJI 2ND CIRCLE"|34063||"PADARAYANA PURA 2 ND"|"YES"|"NO"|"YES"|"NO"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"
29|"MUNIRATHNA"|"MOHSINA"|"02:15:00"|"03:00:00"|"01/07/05"||" BANGALORE"|"BANGALORE CENTRAL"|"NETAJI 2ND CIRCLE"|31527||"PADARAYANA PURA-3RD"|"YES"|"YES"|"YES"|"NO"|"NO"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"
30|"MUNIRATHNA"|"MOHSINA"|"02:30:00"|"03:30:00"|"01/06/11"||" BANGALORE"|"BANGALORE CENTRAL"|"NETAJI 2ND CIRCLE"|31516||"VEERANJENEYA SEVA SANGHA 1 (JANATHA COLONY)"|"YES"|"NO"|"YES"|"NO"|"NO"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"NO"|"YES"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"
31|"MUNIRATHNA"|"MOHSINA"|"02:00:00"|"02:30:00"|"15/10/10"||" BANGALORE"|"BANGALORE CENTRAL"|"NETAJI 2ND CIRCLE"|31460||"VEERANJENEYA SEVA SANGHA  2"|"YES"|"YES"|"YES"|"NO"|"NO"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"NO"|"YES"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"
32|"MUNIRATHNA"|"MOHSINA"|"11:10:00"|"11:30:00"|"19/05/82"||" BANGALORE"|"BANGALORE CENTRAL"|"NETAJI 2ND CIRCLE"|31438||"WALMIKINAGAR 3RD CENTER"|"YES"|"NO"|"NO"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"NO"|"YES"|"NO"|"NO"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"
33|"MUNIRATHNA"|"MOHSINA"|"10:10:00"|"10:30:00"|1996||" BANGALORE"|"BANGALORE CENTRAL"|"NETAJI 2ND CIRCLE"|31436||"WALMIKINAGAR 5"|"YES"|"NO"|"NO"|"NO"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"
34|"MUNIRATHNA"|"MOHSINA"|"11:30:00"|"12:00:00"|1992||" BANGALORE"|"BANGALORE CENTRAL"|"NETAJI 2ND CIRCLE"|31444||"WALMIKINAGARA 2"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"NO"|"YES"|"NO"|"NO"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"
35|"MUNIRATHNA"|"MOHSINA"|"12:00:00"|"12:30:00"|"01/07/05"||" BANGALORE"|"BANGALORE CENTRAL"|"NETAJI 2ND CIRCLE"|34099||"WALMIKKINAGAR  IV"|"YES"|"NO"|"NO"|"NO"|"no"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"NO"|"YES"|"NO"|"NO"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"NILL"|"NILL"|"NILL"|"NILL"|"NILL"|"NIL"|"NIL"|"NILL"|"NILL"|"NILL"|"NILL"|"NILL"|"NILL"|"NIL"|"NIL"|"NILL"|"NIL"|"NILL"|"NILL"|"NIL"|"NIL"|"NIL"|"NIL"|"NIL"|"NIL"|"NIL"|"NIL"|"NIL"|"NIL"|"NIL"|"NIL"|"NIL"|"NIL"|"NIL"|"NIL"
36|"MUNIRATHNA"|"MOHSINA"|"10:30:00"|"11:00:00"|"24/05/81"||" BANGALORE"|"BANGALORE CENTRAL"|"NETAJI 2ND CIRCLE"|30342||"WAMIKINAGAR 1ST CROSS"|"YES"|"NO"|"NO"|"NO"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"YES"|"YES"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"
37|"MUNIRATHNA"|"MOHSINA"|"01:30:00"|"02:00:00"|"05/05/08"||" BANGALORE"|"BANGALORE CENTRAL"|"NETRAVATHI"|30299||"APPAJAPPA GARDEN"|"YES"|"NO"|"NILL"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"
38|"MUNIRATHNA"|"MOHSINA"|"11:30:00"|"12:00:00"|"16/08/95"||" BANGALORE"|"BANGALORE CENTRAL"|"NETRAVATHI"|29607||"BADAMAKAAN I"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"YES"|"YES"|"NO"|"NO"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"NO"|"YES"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"
39|"MUNIRATHNA"|"MOHSINA"|"11:00:00"|"11:30:00"|1995||" BANGALORE"|"BANGALORE CENTRAL"|"NETRAVATHI"|30300||"BADAMAKAAN  II"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"
40|"MUNIRATHNA"|"MOHSINA"|"10:45:00"|"11:30:00"|"27/09/07"||" BANGALORE"|"BANGALORE CENTRAL"|"NETRAVATHI"|30360||"BANDIMODE"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"YES"|"YES"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"NO"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"
41|"MUNIRATHNA"|"MOHSINA"|"10:30:00"|"11:30:00"|2009||" BANGALORE"|"BANGALORE CENTRAL"|"NETRAVATHI"|30350||"DRAUPADI DHARMARAYA DEVASTHANA"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"NO"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NIL"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"
42|"MUNIRATHNA"|"MOHSINA"|"12:15:00"|"01:00:00"|1996||" BANGALORE"|"BANGALORE CENTRAL"|"NETRAVATHI"|29629||"HAMEEDKHAN GARDEN"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"
43|"MUNIRATHNA"|"MOHSINA"|"12:00:00"|"01:00:00"|2009||" BANGALORE"|"BANGALORE CENTRAL"|"NETRAVATHI"|34059||"MUNESHWARA NAGAR"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"YES"|"YES"|"YES"|"NO"|"NO"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"
44|"MUNIRATHNA"|"MOHSINA"|"10:30:00"|"11:30:00"|1992||" BANGALORE"|"BANGALORE CENTRAL"|"NETRAVATHI"|30229||"N.S.GARDEN"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"NO"|"NO"|"YES"|"YES"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"NO"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"NO"|"NO"|"NO"|"NO"|"YES"|"YES"|"YES"|"NO"|"YES"|"NO"|"NO"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"|"YES"
